name,name_lower,occurrences,first_offset,chapters,num_chapters,context_sample
Безухова,безух,20,14779,"1,6,10,12,16,17,18,19,20,45,50,63",12,"ого вельможи, графа Безухова,
умиравшего теперь "
Ah,ah,20,19354,"2,3,5,10,17,20,21,23,49",9,-- Ah! voyons. Contez-nou
Николай,николай,20,84777,"7,8,9,13,14,15,51,52,63",9,"ни Анны
Михайловны, Николай -- студент, старший"
Бергом,берг,20,99735,"9,13,51,53,61",5," секреты. Мы тебя с Бергом не трогаем, -- сказ"
Марью Дмитриевну,марь дмитриевн,20,127009,"13,14,15",3,"ростотой обращения. Марью Дмитриевну знала
царская фамил"
Je,je,19,2522,"0,3,4,5,6,10,14,16,17,19,46,47,49",13,й праздник отменен. Je vous avoue que tout
На,на,19,4309,"0,18,20,23,24,25,26,28,32,35,42,50,51,52,57,61",16,"ь кровь праведника. На кого нам надеяться,"
Видно,видно,19,36598,"3,5,7,19,21,23,24,25,26,27,30,40,48,54,57,59",16,"(Видно было, что виконт ем"
Княжна Марья,княжн марь,19,202782,"20,21,22,23,47,48,49",7,Княжна Марья возвратилась в свою
Andr,andr,18,27017,"2,5,21,23",4,"-- André,67 -- сказала его "
Болконского,болконского,18,58439,"5,26,33,34,36,38,44,46,51,52,53,63",12,"чем прежде, на того
Болконского, который разваливши"
Мне,мн,17,2396,"0,3,5,6,8,9,15,16,23,25,47,49,51,61,63",15,"ника? Нынче середа. Мне надо показаться
там"
Тихон,тихон,17,216954,"21,22,47,49",4,"иво затворил дверь. Тихон знал, что ни приезд"
Уж,уж,16,91994,"8,9,14,27,28,31,42,51,61,62,63",11,-- Уж она и теперь влюбле
Мака,мак,16,255704,"24,26,27,28,32,33,36,37,63",9,"ерцога
Фердинанда и Мака, и Кутузов, не счит"
Александра,александр,15,4440,"0,33,45,47,52,54,55,59,62,63",10,"оту души императора Александра. Она отказалась
очи"
Еще,ещ,15,78498,"6,8,16,17,20,23,25,36,40,48,54,59",12,"ынешнее воспитание! Еще за границей, -- про"
Ваше,ваш,15,124881,"12,24,26,31,36,44,47,57,63",9,"-- Ваше сиятельство, когда "
Солдаты,солдат,15,233140,"22,25,30,31,38,41,43,54,57,58,60",11, в рубашке родился. Солдаты у него прекрасные. 
Dieu,dieu,14,1423,"0,3,5,11,19,20,21,22,23",9,"-- Dieu, quelle virulente s"
Австрию,австри,14,3790,"0,4,21,25,26,33,35,63",8,не говорите мне про Австрию! Я ничего не понима
Mais,mais,14,7009,"0,2,3,4,10,16,19,20,21,45,47,49,54",13,-- Mais à propos de votre f
Il,il,14,48278,"4,9,14,17,18,19,20,21,34,45,47,63",12,"s dames
franèaises. Il faut savoir s'y pre"
По,по,14,48863,"4,25,26,31,46,50,57,59,60,61,62,63",12," так понимает дело…
По-моему, вечный мир в"
Ведь,ведь,14,58889,"5,6,9,11,14,19,21,25,38,47,48,51,59",13,"-- продолжал он. -- Ведь это
целая история ж"
Из,из,13,26466,"2,5,16,17,21,23,28,32,36,42,52,60",12," было очень скучно. Из всех же
прискучивши"
Вдруг,вдруг,13,72397,"5,18,31,39,41,42,44,48,57,61,62,63",12,"а уж не откроет их. Вдруг он
почувствовал, чт"
Николая,никола,13,87872,"8,9,11,13,14,15,54",7," указывая
на своего Николая. -- Вот его друг Бо"
Только,только,13,94218,"8,23,30,32,38,43,46,48,52,53",10,"- сказала она себе. Только что Борис вышел, ка"
Франца,франц,13,275477,"26,32,33,34,35,59",6,"личества
императора Франца давно была бы испол"
За,за,12,7531,"0,9,15,18,22,23,25,30,39,44",10,"ется
счастие жизни. За чтò вам судьба дала"
Кроме,кром,12,18214,"2,3,4,13,33,38,48,51,55",9," не
умолкая шумели. Кроме ma tante, около кот"
Можете,может,12,49280,"4,6,8,11,17,28,48,49,54,61,63",11,"-- Можете себе представить, я"
Ничего,ничего,12,65992,"5,16,25,36,43,44,45,50,59,63",10,-- Ничего не понимаю. В чем д
Один,од,12,70557,"5,21,31,33,43,44,53,57,59,62,63",11," ничего не говорил. Один
из присутствующих, "
Шиншин,шинш,12,127989,"13,14,15",3,"был старый холостяк Шиншин, двоюродный брат гр"
Надо,надо,12,305225,"28,34,38,46,60,63",6,"олковому командиру? Надо
отдать под суд офиц"
Non,non,11,367,"0,3,5,13,20,23,35,47,49",9,"famille Buonaparte. Non, je vous préviens, "
Хотя,хот,11,15261,"1,3,11,24,26,27,40,44,61,63",10,"войственного месту. Хотя,
действительно, Пье"
Лицо,лицо,11,25521,"2,23,24,25,26,27,41,43,46",9,"сит здешний климат. Лицо итальянца вдруг
изм"
Лизой,лиз,11,45531,"4,5,21,47,63",5,"пела переговорить с Лизой о сватовстве, котор"
Его,его,11,58553,"5,11,12,23,31,32,34,44,50,63",10, французские фразы. Его сухое лицо всё дрож
Ему,ем,11,66866,"5,9,22,39,45,46,49,57,62",9,", голубыми
глазами. Ему было лет двадцать п"
Жюли,жюл,11,89561,"8,13,14,15,20,63",6,"ворили о Бонапарте. Жюли, дочь Карагиной, об"
Marie,marie,11,205677,"20,21,23,47,48,49",6,"mée. Eh bien, chère Marie, je vous avouerai, "
Лаврушки,лаврушк,11,290568,27,1,"ин? -- спросил он у Лаврушки, известного всему п"
Брюнне,брюнн,11,342254,"32,33,34,35,36,55,56,63",8,"цузские войска, а в
Брюнне. В ночь сражения, в"
Ольмюц,ольмюц,11,374915,"35,36,46,51,52,53,57",7,"ба.
Говорят, едут в Ольмюц. А Ольмюц очень мил"
Vous,vous,10,2875,"0,1,11,13,22,26,45,47,50",9,che de Novosilzoff? Vous savez tout.7
Et,et,10,34607,"3,4,21,34,45,59,63",7,"он,
одушевляясь. -- Et croyez-moi, ils sub"
Господа,господ,10,70696,"5,24,25,28,36,56,57,63",8,"-- Господа, это глупости; он у"
Графиня,графин,10,74741,"6,7,9,12,13,50",6,"товой на Поварской.
Графиня с красивою старшею "
Граф,граф,10,75309,"6,10,11,13,27",5,"ь в приеме визитов. Граф встречал и
провожал"
Отчего,отчего,10,80022,"6,23,33,44,48,51,57,63",8,"-- Отчего вы говорите, что эт"
Петя,пет,10,143215,"14,50",2,Соня и толстый Петя прятались от смеха.
Браунау,брауна,10,252079,"24,25,27,29,32,40,44",7,лагались у крепости Браунау. В Браунау была гла
Куда,куд,10,315848,"30,34,35,44,62",5,"-- Куда, чорт, подвертки за"
Кремсе,кремс,10,341527,"32,33,35,36,37",5," госпитали и дома в Кремсе,
обращенные в лазар"
Князь Багратион,князь багратион,10,413740,"40,41,44,57",4,"Князь Багратион, прищурившись, огля"
Ланжерон,ланжерон,10,618051,"56,59,62,63",4,"ейротеру
сидел граф Ланжерон и с тонкою улыбкой "
После,посл,9,37018,"3,32,35,46,47,50,58,63",8,возразил виконт. -- После убийства герцога да
Однако,однако,9,43179,"3,6,24,31,33,51,53,63",8,"азчика впечатление. Однако многие, и в
том чис"
Княгиня,княгин,9,46155,"4,5,9,11,21,23,46,63",8,"и показывать этого. Княгиня, как всегда, говори"
От,от,9,46634,"4,5,9,18,32,36,44,47,62",9,вать ее на княгиню. От неловкости или умыш
Курагина,кураг,9,62376,"5,34,53,63",4,"дело; но les femmes Курагина, les femmes et le v"
До,до,9,91008,"8,25,32,43,51,57,63",7,"должала графиня. -- До сих пор я была, сла"
Поди,под,9,98153,"9,13,27,32,40,44,49,53,62",9,"то ты здесь лишняя? Поди к сестрам, или…"
Катишь,катишь,9,159079,"16,18,63",3,"поговорить с тобой, Катишь, о
деле, -- прогово"
Генерал,генерал,9,196184,"20,24,26,42,56,60",6,"доме старого князя.
Генерал-аншеф князь Николай"
Дуная,дуна,9,309475,"29,31,32,35,63",5,"днелись на повороте
Дуная суда, и остров, и з"
Несколько,несколько,9,309976,"29,38,41,44,46,58,60,61,63",9," в трубу местность. Несколько позади
сидел на хоб"
Тушину,тушин,9,415836,"40,43,44",3,"Никто не приказывал Тушину, куда и чем стрелят"
Европы,европ,8,3935,"0,2,14,22,63",5,быть спасительницей Европы. Наш благодетель зн
Скажите,скажит,8,5710,"0,3,6,7,35,48,63",7,"-- сказал князь. -- Скажите, -- прибавил он,
ка"
Annette,annette,8,10182,"0,1,4,9,12,48",6,"-- Ecoutez, chère Annette,28 -- сказал князь,"
Lise,lise,8,10749,"0,1,5,23",4,"Я нынче же
поговорю Lise (la femme du jeune "
Ma,ma,8,12196,"1,5,7,8,16,56,59",7,"лчаливо одобряя их. Ma tante
каждому говор"
Париж,париж,8,23764,"2,13,33,48,53",5,нский тайно ездил в Париж для свидания с m-ll
Les,les,8,34311,"3,9,37,54,63",5, déborder le verre. Les souverains ne peuve
Хорошо,хорошо,8,63645,"5,8,36,40,53",5,"""Хорошо бы было поехать к К"
Николушка,николушк,8,102748,"9,50",2,"ж офицер гвардии, а Николушка идет юнкером. Неком"
Право,право,8,148567,"15,17,27,29,30,33",6,-- Ты думаешь? Право? Ей-Богу? -- сказал
Через,через,8,192785,"19,21,24,26,36,43,44,46",8,"шись, пошли за ней. Через несколько минут пер"
Грачик,грачик,8,293535,"27,31,42",3,"лерист, как вам мой Грачик служит? -- спросил
"
Богданыч,богданыч,8,304669,"28,31,44",3,л штаб-ротмистр. -- Богданыч (Богданычем называл
Ишь,ишь,8,317343,"30,38,43,44,58",5,"-- Ишь, колбаса-то, тоже у"
Болконскому,болконском,8,362638,"34,35,36,44,53,59",6,"сказал Билибин тихо
Болконскому. -- Он прелестен, к"
Мюрат,мюрат,8,369146,"35,37,38,40",4,"е взорвали, так что Мюрат бежит теперь по дор"
On,on,7,2978,"0,3,34,45,47",5,"-
Qu'a-t-on décidé? On a décidé que Buonap"
Мои,мо,7,8861,"0,5,49,63",4,"e je puis l'avouer. Мои
дети -- ce sont les"
Pierre,pierre,7,15523,"1,3,17,20",4,"le à vous, monsieur Pierre, d'être venu voir u"
Наконец,наконец,7,17900,"1,12,16,31,35,49,63",7,"дь особенно умного. Наконец, он подошел к Морио"
Во,во,7,21447,"2,19,21,24,25,31,32",7,Она улыбаясь ждала. Во все время рассказа 
Князь Ипполит,князь ипполит,7,22299,"2,3,4,34",4,Князь Ипполит перенес ей ридикюль
Глаза,глаз,7,22860,"2,16,23,30,32,40,63",7,"о худощаво и слабо. Глаза, нос, рот -- все
сж"
Видите,видит,7,32859,"3,7,31,34,53,63",6,"revoir,70 прощайте. Видите?"
Сколько,сколько,7,36296,"3,5,9,27,35,57,63",7,"-- Сколько я слышал, -- красне"
Какой,как,7,51697,"5,8,16,27,28,47,63",7,"е в женщинах толку. Какой вы спорщик,
мсье Пь"
Одна,одн,7,72254,"5,26,31,38,42,47,62",7," рука и голова его. Одна рука поднялась,
что"
Надеюсь,надеюсь,7,79883,"6,25,32,48,63",5,"ничное куда довело. Надеюсь, что здесь его никт"
Mon,mon,7,106711,"10,11,35,50,59",5,-- Mon ami!141 -- сказала 
Впрочем,впроч,7,124970,"12,32,38,51,55,59,63",7,"зволите знать, что… Впрочем, не извольте беспок"
Другой,друг,7,128125,"13,21,25,37,41,45,46",7,"своего собеседника. Другой, свежий, розовый, г"
Впереди,вперед,7,151282,"15,31,32,39,41,42,58",7,одили в двери залы. Впереди шла Марья Дмитриевн
Несмотря,несмотр,7,197649,"20,24,35,43,50,55",6,"й жестокий
человек. Несмотря на то, что он был в"
Князь,князь,7,198812,"20,22,38,47,49,63",6,"тановилась у входа. Князь
работал за станком "
Фердинанда,фердинанд,7,255691,"24,26,33",3,"с армией эрцгерцога
Фердинанда и Мака, и Кутузов, "
Тимохин,тимох,7,264441,"25,43",2,"-- А, Тимохин! -- сказал главноко"
Государь,государь,7,266539,"25,32,52,54,55,62",6,", служи
хорошенько. Государь милостив. И я не за"
Кутузовым,кутузовым,7,271241,"25,33,44,52,53,56",6,"""
вставляли слова: ""Кутузовым отцом""."
Козловский,козловский,7,281128,"26,36",2,", князь? -- спросил Козловский."
Ульмом,ульм,7,283247,"26,32,33,37,38,63",6,"даче всей
армии под Ульмом, оказывался справед"
Васьки Денисова,васьк денис,7,288027,"27,30,31",3," дивизии под именем Васьки Денисова, была отведена лучш"
Тут,тут,7,297774,"27,28,31,44,46,62,63",7,"учика да вас самих. Тут
где-нибудь, -- сказ"
Офицеры,офицер,7,310198,"29,31,36,43,58,63",6,"щим доппелькюмелем. Офицеры
радостно окружали е"
Шмите,шмит,7,342002,"32,33,35,36",4,встрийском генерале Шмите. Под ним была ранен
Eh,eh,6,258,"0,4,20,47,55",5,"-- Eh bien, mon prince. G"
Нынче,нынч,6,2382,"0,5,8,33,38,63",6,ийского посланника? Нынче середа. Мне надо по
Знаете,знает,6,7973,"0,5,35,63",4," поговорить с вами. Знаете, я
недовольна вашим"
Говорят,говорят,6,9137,"0,4,8,35,63",5,"дного сына
Анатоля. Говорят, -- сказала она, --"
Voil,voil,6,9739,"0,34,36,38,48,63",6,"сли это пойдет так? Voilà l'avantage
d'être "
Отец,отец,6,9800,"0,4,5,13,45,63",6,-- Отец очень богат и скуп.
Мортемаром,мортемар,6,11596,"1,2,45,63",4,"ын князя Василия, с Мортемаром, которого он
предст"
Le,le,6,19662,"2,19,34,49",4,-- Le vicomte a été perso
Оба,об,6,24988,"2,15,25,42,52,60",6," свою любимую идею. Оба слишком
оживленно и"
Basile,basile,6,32971,"3,20,45",3,"обещайте, обещайте, Basile,71 -- сказала вслед"
Russie,russie,6,34424,"3,20,37",3," ne parle pas de la Russie, -- сказал виконт
у"
Напротив,напротив,6,40067,"3,10,43,48,58",5,"и стали счастливее? Напротив. Мы
хотели свободы,"
Нельзя,нельз,6,41815,"3,4,25,30,49,62",6,"-- Нельзя не сознаться, -- пр"
Чорт,чорт,6,72680,"5,27,30,31,38,63",6,дцом! Вот так пари! Чорт вас возьми совсем! 
Ростовых,ростовых,6,74537,"6,10,15,16,20,50",6,У Ростовых были именинницы Нат
Опять,опять,6,88225,"8,14,28,31,42",5," -- сказал граф. -- Опять поговорят, поговоря"
Николинька,николиньк,6,91264,"8,15,50",3,"моих дочерей, и что Николинька, по своему пылкому "
Мой,мой,6,103724,"9,53,63",3, ужасном положении. Мой несчастный процесс 
Суворова,сувор,6,140018,"14,22,26,40,55",5,eille.170 Уж на чтò Суворова -- и того расколоти
Лоррена,лоррен,6,156951,"16,17,18,19,63",5," села
подле доктора Лоррена, который в грациозн"
Княжна,княжн,6,165992,"16,19,20,49,63",5,"удержал ее за руку. Княжна имела вид
человека,"
Слава Богу,слав бог,6,173776,"17,21,25,46,50,57",6,"-- Слава Богу, что успели, -- ска"
Француз,француз,6,180866,"18,35,38,42,60,62",6,"ила к себе Лоррена. Француз-доктор, --
стоявший"
Николай Андреевич,николай андреевич,6,196204,"20,48",2,"Генерал-аншеф князь Николай Андреевич, по прозванью в общ"
Бурьен,бурьен,6,219855,"21,22,23,63",4,"6 -- вставила m-lle
Бурьен."
"Михайле
Ивановиче",михайл иванович,6,226980,22,1,"друг на архитекторе Михайле
Ивановиче, сморкавшемся в угл"
Буонапарте,буонапарт,6,230291,"22,53,63",3,", Михайла Иванович, Буонапарте-то нашему плохо при"
Маша,маш,6,242692,"23,47,63",3,"го не говорил тебе, Маша, чтоб я упрекал в ч"
Извольте,извольт,6,259675,"24,36,38,59",4,"ова раздражаясь. -- Извольте
одеть людей приличн"
Благодарю,благодар,6,269159,"25,32,40,44,63",5,"солдаты слышали. -- Благодарю всех!
Слава Богу! -"
Вишь,вишь,6,270293,"25,30,38,43",4,-- Вишь черти квартирьеры! 
Несвицкого,несвицкого,6,284979,"26,30,31,36",4,"в, отталкивая рукой Несвицкого, запыхавшимся голос"
Гусары,гусар,6,324798,"31,57",2,ъехались по местам. Гусары старательно стали в
Цнайме,цнайм,6,382099,"36,37,38",3,-- В Цнайме ночуем.
Шенграбен,шенграбен,6,405113,"39,40,42,43,54",5,", виднелась деревня Шенграбен; левее и
правее мож"
Ура,ур,6,427299,"41,42,60,61,63",5,"янулся и закричал:
""Ура!"""
Николай Андреич,николай андреич,6,501659,"47,49",2,"нязю Василию, князь Николай Андреич был
особенно недово"
Долгорукову,долгоруков,6,587653,"53,55,61",3,"от мы пойдемте-ка
к Долгорукову, мне и надо сходить"
Вишау,виша,6,595989,"54,55",2,"е, о занятии города Вишау и взятии в плен цел"
Милорадович,милорадович,6,612371,"55,56,59",3,"рь уже два русских: Милорадович и Дохтуров, и был б"
Титом,тит,6,626044,"56,62",2,"й, и которого звали Титом, говорил: ""Тит, а Т"
Мари,мар,6,712237,63,1,"ризнаюсь
вам, милая Мари, что, несмотря на е"
Анна Павловна Шерер,анн павловн шерер,5,806,"0,6,45,46",4,"1805 года известная Анна Павловна Шерер, фрейлина и
приближ"
Пруссия,прусси,5,4765,"0,21,52,63",4,"и, и того
не будет! Пруссия уже объявила, что Б"
Франции,франци,5,5522,"0,3,33,57",4,"а из лучших фамилий Франции.
Это один из хороши"
Между,межд,5,8015,"0,20,31,42,59",5,ашим меньшим сыном. Между нами будь сказано (
La,la,5,10014,"0,13,48,54",4,"нностями и
тяжелый. La pauvre petite est m"
Виконт,виконт,5,19233,"2,3,63",3,"ерцога Энгиенского. Виконт
сказал, что герцог "
Вслед,вслед,5,21884,"2,17,29,31",4,"ь в сияющей улыбке. Вслед за
Элен перешла и м"
Милый,милый,5,32184,"3,63",2,"-- Милый мой, вы благодетель"
Ей,ей,5,42698,"3,21,23,27,47",5," И она очень скупа. Ей нужно
было иметь дв"
Был,был,5,50064,"4,31,32,58,63",5,"ворим
лучше о деле. Был ты в конной гвардии"
Пойдем,пойд,5,56815,"5,15,23,50,63",5,"-- Пойдем ужинать, -- сказал "
Ростовым,ростовым,5,74193,"6,11,19,52,54",5,"гатым родственникам Ростовым, у
которых она стоя"
Митенька,митеньк,5,76744,"6,12",2,"-- Ну, ну, Митенька, смотри, чтобы всё "
Apraksine,apraksine,5,77530,"6,7,13,22",4,"sky… et la comtesse Apraksine… j'ai été
si heureu"
Кирилла Владимировича,кирилл владимирович,5,80510,"6,9,10",3," --
Репутация графа Кирилла Владимировича известна… Детям сво"
Павлоградского,павлоградского,5,88689,"8,42,50,52",4,"с Шуберт, полковник Павлоградского гусарского
полка. О"
Пойдемте,пойдемт,5,100808,"9,38,63",3,"й, расстроила всех. Пойдемте в детскую."
Коли,кол,5,105309,"9,23,27,42,54",5,"тоже в переднюю. -- Коли ему лучше, зовите П"
Помни,помн,5,106094,"10,23,47,49,50",5,"воя будущая судьба. Помни это, mon
cher,140 б"
Пожалуйста,пожалуйст,5,121115,"11,23,27,38",4,мимся с вами лучше. Пожалуйста. -- Он пожал руку Б
Adieu,adieu,5,122333,"11,20,23",3," его приготовить!.. Adieu, mon prince, que le"
Эй,эй,5,124279,"12,27,30",3,"-- Сейчас, сейчас. Эй, кто там? -- крикну"
При,пр,5,192894,"19,48,52,63",4,"енною нижнею
губой. При виде Пьера лицо ее "
Лысых Горах,лысых горах,5,195975,"20,47,48,63",4,"В Лысых Горах, имении князя Никол"
Со,со,5,257206,"24,25,36,45,47",5,е четвероугольники. Со всех сторон отбегал
Полковой,полков,5,257477,"24,31,44,59",4,"ь серыми из черных. Полковой командир, опять
под"
Полк,полк,5,261121,"25,42,48,51",4,"готовился крикнуть. Полк
встрепенулся, как о"
Польше,польш,5,268512,"25,26,27,51",4,"добр. А то зверь. В Польше убил было жида, изв"
Одно,одно,5,269350,"25,42,43,44,62",5,"-- Одно слово, червонный!… "
Хоть,хоть,5,270502,"25,27,29,36,49",5,"-- Хоть бы привал сделали, "
Денисову,денисов,5,287968,"27,31,50",3,"омандиру, ротмистру Денисову, известному всей
ка"
Кирстен,кирстен,5,303357,"28,31,54",3,Штаб-ротмистр Кирстен был два раза разжал
Энс,энс,5,308884,"29,30",2,"ска переходили
реку Энс. Русские обозы, арт"
Каким,каким,5,320658,"30,44,56,58",4,-- Каким ты щеголем нынче! -
Неприятель,неприятель,5,322747,"31,56,59,61",4," против неприятеля. Неприятель, вдалеке видный с
п"
Мортье,морть,5,340980,"32,33",2,"ерегу Дуная дивизию Мортье и
разбил ее. В этом"
Дохтурова,дохтур,5,342469,"32,55,56,62",4,"хав с
донесением от Дохтурова в Кремс к Кутузову,"
Empereur,empereur,5,363068,"34,37,38",3,"uis si
sa Majesté l'Empereur ne déroge pas au pr"
Получив,получив,5,390970,"37,47,50,51,61",5,"ность спасти армию. Получив это известие, Кутуз"
Матвевна,матвевн,5,446927,"43,44",2,"""Ну-ка, наша Матвевна"", говорил он про се"
Алпатыча,алпатыч,5,503423,47,1,"он замахнулся ею на Алпатыча и ударил бы, ежели "
Аугеста,аугест,5,687991,"62,63",2,и берегах у деревни Аугеста.
Репнина,репн,5,695690,63,1,"конский узнал князя Репнина, которого он встреч"
Buonaparte,buonaparte,4,355,"0,3,33",3,"стья, de la famille Buonaparte. Non, je vous prévi"
Англия,англи,4,4351,"0,4,57,63",4,"
я вас спрашиваю?.. Англия с своим коммерчески"
Болконская,болконска,4,9364,"0,1,2",3,"us, une princesse25 Болконская. -- Князь Василий н"
